t,est_vx_w,est_vy_w,est_vz_w,gt_vx_w,gt_vy_w,gt_vz_w,est_vx_b,est_vy_b,est_vz_b,gt_vx_b,gt_vy_b,gt_vz_b
9.67,0.23090705275535583,0.023610051721334457,0.3658007085323334,0.21508343517780304,0.07786089926958084,0.3460889756679535,0.22777248919010162,0.024690711870789528,0.36768969893455505,0.21082655176760082,0.0787862026902513,0.34849057682669665
9.674999999999999,0.21122270822525024,0.0266636423766613,0.38177722692489624,0.21299155056476593,0.0705949142575264,0.3408423960208893,0.20814847946166992,0.026970934122800827,0.3834404945373535,0.20913255919605106,0.07142856893142494,0.3430511823051671
9.68,0.19786003232002258,0.0274041797965765,0.39345791935920715,0.2005566656589508,0.07059098780155182,0.35765448212623596,0.19494624435901642,0.027072468772530556,0.3949325978755951,0.1968072922401474,0.07076713589163476,0.35969667010269213
9.684999999999999,0.18546636402606964,0.021623393520712852,0.3964381217956543,0.1880626678466797,0.07227067649364471,0.37221717834472656,0.18291163444519043,0.020691944286227226,0.3976728618144989,0.18440454680156196,0.0717116925794271,0.37415056038960914
9.69,0.17345812916755676,0.008527417667210102,0.38884106278419495,0.17765331268310547,0.07490114867687225,0.38069966435432434,0.17145636677742004,0.007042118348181248,0.38975751399993896,0.17407791782880905,0.07360960199925642,0.3825985115462331
9.694999999999999,0.1570194512605667,0.001827679225243628,0.3639000654220581,0.16942797601222992,0.0778871402144432,0.3832721412181854,0.155379056930542,-2.935797419922892e-05,0.3646080791950226,0.16584544658589115,0.07599804437022273,0.38521340189380465
9.7,0.13862325251102448,-0.0033292968291789293,0.33507421612739563,0.166934534907341,0.07749560475349426,0.3669048547744751,0.13721324503421783,-0.005493759177625179,0.33562561869621277,0.1633865619017864,0.07546179574655014,0.3689203558084047
9.705,0.1447196751832962,0.001976432278752327,0.2950740456581116,0.16645796597003937,0.0767265185713768,0.34552714228630066,0.1432444006204605,0.00036037247627973557,0.2957994043827057,0.1628763149271384,0.07472486998241802,0.3476661027274802
9.709999999999999,0.13263148069381714,0.0028615857008844614,0.2719587981700897,0.16720184683799744,0.07607169449329376,0.3214837610721588,0.13108015060424805,0.0011038023512810469,0.27272269129753113,0.16352867316241154,0.07422010071732157,0.3237976507393502
9.715,0.1147136241197586,0.003396314801648259,0.25248703360557556,0.16876929998397827,0.07547246664762497,0.2955242395401001,0.11305072903633118,0.0013060099445283413,0.25325536727905273,0.16498612701422782,0.07386510732742539,0.29805581659698965
9.719999999999999,0.09663406014442444,0.0005430467426776886,0.23247464001178741,0.16921578347682953,0.07541926205158234,0.27161726355552673,0.09494029730558395,-0.0018586741061881185,0.2331647127866745,0.1652933497434398,0.07401195994147963,0.27440539834937494
9.725,0.09769713878631592,0.0010634006466716528,0.2128431797027588,0.17011050879955292,0.07569011300802231,0.24653148651123047,0.09588277339935303,-0.0011539860861375928,0.2136661857366562,0.16606346628239999,0.07454020325612365,0.24962178493847315
9.729999999999999,0.06675994396209717,-0.011236574500799179,0.1906908005475998,0.17136479914188385,0.07625138759613037,0.2203744500875473,0.06521201133728027,-0.014004179276525974,0.191042959690094,0.16722752696127446,0.07541856051116133,0.22381255930430388
9.735,0.06829307973384857,-0.00968650821596384,0.1737913191318512,0.17283499240875244,0.07711794972419739,0.1934678554534912,0.06661838293075562,-0.012263827957212925,0.1742778867483139,0.16865290113362535,0.07667599973912995,0.19729651255441386
9.739999999999998,0.06829307973384857,-0.00968650821596384,0.1737913191318512,0.17484897375106812,0.07906810194253922,0.1713147759437561,0.06661838293075562,-0.012263827957212925,0.1742778867483139,0.17085755731694935,0.07922920469166313,0.17522302660742348
9.745,0.06975045800209045,-0.007848650217056274,0.15695612132549286,0.1768607497215271,0.08145181834697723,0.14893671870231628,0.0679696798324585,-0.010207438841462135,0.15760038793087006,0.1728224244368236,0.08198308372684211,0.1533214051463926
9.75,0.07093104720115662,-0.005901638884097338,0.13977418839931488,0.1785028576850891,0.08398512005805969,0.12570485472679138,0.0690842792391777,-0.008005985990166664,0.1405920833349228,0.17448563593362185,0.08494595610051872,0.13060409063800849
9.754999999999999,0.07164984941482544,-0.0034532821737229824,0.12192447483539581,0.17957763373851776,0.08655188977718353,0.10183576494455338,0.06978248804807663,-0.005257022567093372,0.12293889373540878,0.17566252059535253,0.08800082504368095,0.10727727082867025
9.76,0.07167376577854156,-0.0003913748078048229,0.1038847491145134,0.17980758845806122,0.09052366018295288,0.07656745612621307,0.069831483066082,-0.0018453471129760146,0.10511651635169983,0.1760618819753241,0.09256182027408653,0.08259782320610765
9.764999999999999,0.07112275063991547,0.0028570762369781733,0.08600406348705292,0.17885802686214447,0.09503968805074692,0.052302923053503036,0.06936362385749817,0.0017908131703734398,0.08745735138654709,0.17533800169822936,0.09768543984655466,0.05892768313926973
9.77,0.04380366578698158,-0.030150534585118294,0.012474693357944489,0.17763355374336243,0.09908891469240189,0.028234990313649178,0.04428743198513985,-0.029473161324858665,0.012385067529976368,0.1744303300587298,0.10240955507760013,0.03543797528752089
9.774999999999999,0.04200891777873039,-0.027637140825390816,-0.005723570007830858,0.1762419193983078,0.10261838138103485,0.004958619829267263,0.04281384125351906,-0.026371559128165245,-0.005730260629206896,0.1734271974386996,0.10666622057787535,0.012714512839557254
9.78,0.05311635136604309,-0.024865752086043358,-0.032477863132953644,0.1728995442390442,0.10520508885383606,-0.02078656293451786,0.0544842928647995,-0.022311732172966003,-0.03206418827176094,0.17062504578991927,0.11010646745267108,-0.012573937226571187
9.784999999999998,0.0598536878824234,-0.021810391917824745,-0.05060578137636185,0.16900749504566193,0.10774604231119156,-0.044403064996004105,0.06163203343749046,-0.018333597108721733,-0.04984450340270996,0.1672875532104595,0.1134876413111868,-0.035774362425238425
